Semana,Festivo / Teletrabajo,Restaurante 1,Restaurante 2,Nº Restaurante 1,Nº Restaurante 2,Nº Taper / Glovo
18/06/2026,N,,,,,
25/06/2026,N,,,,,
02/07/2026,Y,,,,,
09/07/2026,Y,,,,,
16/07/2026,Y,,,,,
23/07/2026,Y,,,,,
30/07/2026,Y,,,,,
06/08/2026,Y,,,,,
13/08/2026,Y,,,,,
20/08/2026,Y,,,,,
27/08/2026,Y,,,,,
03/09/2026,N,,,,,
10/09/2026,N,,,,,
17/09/2026,N,,,,,
24/09/2026,N,,,,,
01/10/2026,N,,,,,
08/10/2026,N,,,,,
15/10/2026,N,,,,,
22/10/2026,N,,,,,
29/10/2026,N,,,,,
05/11/2026,N,,,,,
12/11/2026,N,,,,,
19/11/2026,N,,,,,
26/11/2026,N,,,,,
03/12/2026,N,,,,,
10/12/2026,N,,,,,
17/12/2026,N,,,,,
24/12/2026,N,,,,,
31/12/2026,N,,,,,
07/01/2027,N,,,,,
14/01/2027,N,,,,,
21/01/2027,N,,,,,
28/01/2027,N,,,,,
04/02/2027,N,,,,,
